Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Throughput,EBS Optimized: Max 16K IOPS,EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost,Storage,Burstable,Model Type,Category,StorageType
X1E 16xlarge,x1e.16xlarge,1952,179,64,0,0,2.797,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,Yes,1920 GiB               SSD,Yes,No,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,No,NA,NA,13.474,8.353,13.444,8.256,NA,NA,17.37,12.249,23.968,18.847,40.288,35.167,14.426,9.305,21.024,15.903,37.344,32.223,NA,NA,1920,FALSE,X1E,Memory,SSD
High Memory Cluster Eight Extra Large,cr1.8xlarge,244,88,32,0,0,2.75,Intel Xeon E5-2670,unknown,unknown,unknown,unknown,240 GiB               (2 * 120 GiB SSD),No,No,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,No,No,No,No,Unknown,Yes,NA,NA,3.63,NA,3.6,NA,NA,NA,4.044,NA,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,240,FALSE,cr1,Memory,SSD
X1E 32xlarge,x1e.32xlarge,3904,340,128,0,0,2.656,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,Yes,3840 GiB               (2 * 1920 GiB SSD),Yes,No,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,No,NA,NA,26.818,16.576,26.788,16.479,NA,NA,34.74,24.498,47.936,37.694,80.576,70.334,28.851,18.609,42.048,31.806,74.688,64.446,NA,NA,3840,FALSE,X1E,Memory,SSD
M3 General Purpose Medium,m3.medium,3.75,3,1,0,0,3,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,Yes,unknown,Yes,4 GiB               SSD,No,No,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,12,2,No,No,No,No,"HVM, PV",No,NA,NA,0.127,0.108,0.167,0.081,NA,NA,0.184,0.127,0.353,0.221,NA,NA,0.135,0.111,0.547,0.523,NA,NA,NA,NA,4,FALSE,M3,General,SSD
X1E Double Extra Large,x1e.2xlarge,244,23,8,0,0,2.875,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,unknown,240 GiB               SSD,Yes,No,64-bit,Up to 10 Gigabit,1000.0 Mbps,125.0 MB/s,7400.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,No,NA,NA,1.798,1.158,1.768,1.061,NA,NA,2.171,1.531,2.996,2.356,5.036,4.396,1.803,1.163,2.628,1.988,4.668,4.028,NA,NA,240,FALSE,X1E,Memory,SSD
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30,55,16,0,0,3.438,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,unknown,Yes,320 GiB               (2 * 160 GiB SSD),No,No,64-bit,High,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,"HVM, PV",Yes,NA,NA,0.97,0.714,0.94,0.62,NA,NA,2.166,1.54,4.262,3.084,7.576,7.329,1.11,0.801,2.76,2.451,6.84,6.531,NA,0.21,320,FALSE,C3,Compute,SSD
M3 General Purpose Extra Large,m3.xlarge,15,13,4,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,Yes,unknown,Yes,80 GiB               (2 * 40 GiB SSD),No,No,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,No,No,No,No,"HVM, PV",Yes,NA,NA,0.326,0.25,0.366,0.223,NA,NA,0.734,0.479,1.266,0.882,1.95,1.878,0.336,0.24,0.748,0.653,1.768,1.673,NA,0.07,80,FALSE,M3,General,SSD
G2 Eight Extra Large,g2.8xlarge,60,104,32,4,0,3.25,Intel Xeon E5-2670 (Sandy Bridge),2.6 GHz,Yes,unknown,Yes,240 GiB               (2 * 120 GiB SSD),No,No,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,No,No,No,No,Unknown,No,NA,NA,2.73,2.026,2.7,1.933,NA,NA,NA,NA,NA,NA,16.072,15.369,NA,NA,NA,NA,14.6,13.702,NA,NA,240,FALSE,G2,Accelerated,SSD
X1E Extra Large,x1e.xlarge,122,12,4,0,0,3,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,unknown,120 GiB               SSD,Yes,No,64-bit,Up to 10 Gigabit,500.0 Mbps,62.5 MB/s,3700.0 IOPS,No,30,3,Yes,Yes,Yes,No,HVM,No,NA,NA,0.894,0.574,0.934,0.547,NA,NA,1.086,0.766,1.498,1.178,2.518,2.198,0.902,0.582,1.314,0.994,2.334,2.014,NA,NA,120,FALSE,X1E,Memory,SSD
X1 Extra High-Memory 16xlarge,x1.16xlarge,976,174.5,64,0,0,2.727,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,unknown,unknown,unknown,1920 GiB               SSD,Yes,No,64-bit,High,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,No,8.403,5.179,6.799,4.24,6.769,4.143,11.347,8.123,10.94,8.136,17.293,14.734,33.613,31.054,7.751,5.191,14.349,11.79,30.669,28.11,NA,NA,1920,FALSE,X1,Memory,SSD
