,ID,Selector,Deployer,Interpreter,Concurrent_Jobs,Multiple_Providers,Jobs_completed,Best_instance,Best_CPU,Best_Provider,Best_Category,Best_JobID,Best_Result,Time,Cost
18,16,exact_match,vbench,vbench,3,True,8,m5.large,2,aws,General,0,-6.388076,300,1.7139000000000002
19,17,exact_match,vbench,vbench,3,True,7,m5.large,2,aws,General,0,-6.339183,283,1.3328999999999998
20,18,exact_match,vbench,vbench,3,True,8,m5.large,2,aws,General,0,-6.310441,312,1.7128999999999996
21,19,exact_match,vbench,vbench,3,True,10,c5.large,2,aws,CPU,20003,-8.029303,417,1.2957999999999998
22,2,exact_match,vbench,vbench,3,True,8,m5.large,2,aws,General,0,-6.367326,391,1.3659999999999999
23,20,exact_match,vbench,vbench,3,False,9,n1-highcpu-2,2,google,CPU,20004,-6.725372,279,1.4462999999999997
24,21,exact_match,vbench,vbench,3,False,6,n1-highcpu-2,2,google,CPU,20001,-6.850692,148,1.1613
25,22,exact_match,vbench,vbench,3,False,7,n1-standard-2,2,google,General,3,-5.190585,280,1.2803999999999998
26,23,exact_match,vbench,vbench,3,False,10,n1-highcpu-2,2,google,CPU,20003,-6.760475,4000,1.4945
27,24,exact_match,vbench,vbench,3,False,9,n1-highcpu-2,2,google,CPU,20003,-6.645396,325,1.3994999999999997
28,25,exact_match,vbench,vbench,3,False,8,n1-highcpu-2,2,google,CPU,20001,-6.784966,258,1.0662999999999998
29,26,exact_match,vbench,vbench,3,False,6,n1-highcpu-2,2,google,CPU,20000,-6.468035,154,1.1612999999999998
30,27,exact_match,vbench,vbench,3,False,12,n1-highcpu-2,2,google,CPU,20005,-6.773775,432,1.5412999999999997
31,28,exact_match,vbench,vbench,3,False,6,n1-standard-2,2,google,General,20001,-5.205215,152,0.9003999999999999
32,29,exact_match,vbench,vbench,3,False,7,n1-standard-2,2,google,General,0,-5.227769,281,1.2804
33,3,exact_match,vbench,vbench,3,True,10,c5.large,2,aws,CPU,20003,-8.210613,438,1.5808
34,30,exact_match,vbench,vbench,3,False,6,n1-highcpu-2,2,google,CPU,20000,-6.864835,153,0.8762999999999999
35,31,exact_match,vbench,vbench,3,False,11,n1-highcpu-2,2,google,CPU,20003,-6.879046,436,1.7766999999999997
36,32,exact_match,vbench,vbench,3,False,9,n1-highcpu-2,2,google,CPU,20003,-6.756787,292,1.7312999999999998
